CNPJ;Data_da_Consulta;Razão Social;Nome Fantasia;Situação;Risco Calculado;Competência;CNAE Principal (Código);CNAE Principal (Descrição);CNAE Secundário 1 (Código);CNAE Secundário 1 (Descrição);CNAE Secundário 2 (Código);CNAE Secundário 2 (Descrição);CNAE Secundário 3 (Código);CNAE Secundário 3 (Descrição);CNAE Secundário 4 (Código);CNAE Secundário 4 (Descrição);CNAE Secundário 5 (Código);CNAE Secundário 5 (Descrição);CNAE Secundário 6 (Código);CNAE Secundário 6 (Descrição);CNAE Secundário 7 (Código);CNAE Secundário 7 (Descrição);CNAE Secundário 8 (Código);CNAE Secundário 8 (Descrição);CNAE Secundário 9 (Código);CNAE Secundário 9 (Descrição);CNAE Secundário 10 (Código);CNAE Secundário 10 (Descrição);CNAE Secundário 11 (Código);CNAE Secundário 11 (Descrição);CNAE Secundário 12 (Código);CNAE Secundário 12 (Descrição);CNAE Secundário 13 (Código);CNAE Secundário 13 (Descrição);CNAE Secundário 14 (Código);CNAE Secundário 14 (Descrição);CNAE Secundário 15 (Código);CNAE Secundário 15 (Descrição);CNAE Secundário 16 (Código);CNAE Secundário 16 (Descrição);CNAE Secundário 17 (Código);CNAE Secundário 17 (Descrição);CNAE Secundário 18 (Código);CNAE Secundário 18 (Descrição);CNAE Secundário 19 (Código);CNAE Secundário 19 (Descrição);CNAE Secundário 20 (Código);CNAE Secundário 20 (Descrição);CNAE Secundário 21 (Código);CNAE Secundário 21 (Descrição);CNAE Secundário 22 (Código);CNAE Secundário 22 (Descrição);CNAE Secundário 23 (Código);CNAE Secundário 23 (Descrição);CNAE Secundário 24 (Código);CNAE Secundário 24 (Descrição);CNAE Secundário 25 (Código);CNAE Secundário 25 (Descrição);CNAE Secundário 26 (Código);CNAE Secundário 26 (Descrição)
76371947000170;22/12/2025 09:10;MERCADO CASA GRANDE LTDA;SUPERMERCADO CASA GRANDE;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4711302;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;0;Não informada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77689461000148;22/12/2025 12:21;G. A. MATERIAIS PARA CONSTRUCOES LTDA;DEPOSITO NOSSA SENHORA APARECIDA;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4744005;Comércio varejista de materiais de construção não especificados anteriormente;0;Não informada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79792131000109;22/12/2025 15:31;MERCADO UMUARAMA LTDA;BAR E MERCEARIA UMUARAMA;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4712100;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;4784900;Comércio varejista de gás liqüefeito de petróleo (GLP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80380421000124;22/12/2025 18:42;PRANDINI & PRANDINI LTDA;;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4712100;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;4722901;Comércio varejista de carnes - açougues;4729699;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;4784900;Comércio varejista de gás liqüefeito de petróleo (GLP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80787864000134;22/12/2025 21:52;PARAPUA MOVEIS LTDA;LOJAS PARAPUA;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4754701;Comércio varejista de móveis;4753900;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;4754702;Comércio varejista de artigos de colchoaria;4755503;Comercio varejista de artigos de cama, mesa e banho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82013772000122;23/12/2025 01:03;ALMIR DE ALMEIDA & CIA LTDA;;ATIVA;MÉDIO;MUNICÍPIO;5510801;Hotéis;5611201;Restaurantes e similares;5611203;Lanchonetes, casas de chá, de sucos e similares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72383953000197;23/12/2025 04:13;DELEI'T - INDUSTRIA E COMERCIO DE LATICINIOS LTDA;DELEI'T - INDUSTRIA E COMERCIO DE LATICINIOS;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;1052000;Fabricação de laticínios;4930201;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;4930202;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;5212500;Carga e descarga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
582416000165;23/12/2025 07:24;PANIFICADORA GRAND PAO LTDA;;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;1091102;Fabricação de produtos de padaria e confeitaria com predominância de produção própria;4721104;Comércio varejista de doces, balas, bombons e semelhantes;5611203;Lanchonetes, casas de chá, de sucos e similares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1800733000173;23/12/2025 10:35;SALES E FORMAGGI LTDA;CASA DE CARNE DO PIA;ATIVA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;4722901;Comércio varejista de carnes - açougues;0;Não informada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1686481000101;23/12/2025 13:45;GASQUES & SANCHES LTDA;LANCHONETE E MERCEARIA CEDRO;BAIXADA;PENDENTE DE ANÁLISE;ANÁLISE MANUAL;0;********;0;Não informada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
